Date,Open,High,Low,Close,Volume,Market Cap
05-Dec-17,11685.7,12032,11604.6,11916.7,6895260000,1.95389E+11
04-Dec-17,11315.4,11657.2,11081.8,11657.2,6132410000,1.89172E+11
03-Dec-17,11082.7,11858.7,10862,11323.2,6608310000,1.85258E+11
02-Dec-17,10978.3,11320.2,10905.1,11074.6,5138500000,1.8349E+11
01-Dec-17,10198.6,11046.7,9694.65,10975.6,6783120000,1.70436E+11
30-Nov-17,9906.79,10801,9202.05,10233.6,8310690000,1.65537E+11
29-Nov-17,10077.4,11517.4,9601.03,9888.61,11568800000,1.68367E+11
28-Nov-17,9823.43,10125.7,9736.3,10058.8,6348820000,1.64104E+11
27-Nov-17,9352.72,9818.35,9352.72,9818.35,5653320000,1.56221E+11
26-Nov-17,8789.04,9522.93,8775.59,9330.55,5475580000,1.46789E+11
25-Nov-17,8241.71,8790.92,8191.15,8790.92,4342060000,1.37632E+11
24-Nov-17,8074.02,8374.16,7940.93,8253.69,5058610000,1.34816E+11
23-Nov-17,8232.38,8267.4,8038.77,8038.77,4225180000,1.37444E+11
22-Nov-17,8077.95,8302.26,8075.47,8253.55,3633530000,1.34851E+11
21-Nov-17,8205.74,8348.66,7762.71,8071.26,4277610000,1.36967E+11
20-Nov-17,8039.07,8336.86,7949.36,8200.64,3488450000,1.34167E+11
19-Nov-17,7766.03,8101.91,7694.1,8036.49,3149320000,1.29595E+11
18-Nov-17,7697.21,7884.99,7463.44,7790.15,3667190000,1.28425E+11
17-Nov-17,7853.57,8004.59,7561.09,7708.99,4651670000,1.31026E+11
16-Nov-17,7323.24,7967.38,7176.58,7871.69,5123810000,1.22164E+11
15-Nov-17,6634.76,7342.25,6634.76,7315.54,4200880000,1.10667E+11
14-Nov-17,6561.48,6764.98,6461.75,6635.75,3197110000,1.09434E+11
13-Nov-17,5938.25,6811.19,5844.29,6559.49,6263250000,99029000000
12-Nov-17,6295.45,6625.05,5519.01,5950.07,8957350000,1.0498E+11
11-Nov-17,6618.61,6873.15,6204.22,6357.6,4908680000,1.10362E+11
10-Nov-17,7173.73,7312,6436.87,6618.14,5208250000,1.19607E+11
09-Nov-17,7446.83,7446.83,7101.52,7143.58,3226250000,1.24146E+11
08-Nov-17,7141.38,7776.42,7114.02,7459.69,4602200000,1.19041E+11
07-Nov-17,7023.1,7253.32,7023.1,7144.38,2326340000,1.17056E+11
06-Nov-17,7403.22,7445.77,7007.31,7022.76,3111900000,1.23379E+11
05-Nov-17,7404.52,7617.48,7333.19,7407.41,2380410000,1.23388E+11
04-Nov-17,7164.48,7492.86,7031.28,7379.95,2483800000,1.19376E+11
03-Nov-17,7087.53,7461.29,7002.94,7207.76,3369860000,1.18084E+11
02-Nov-17,6777.77,7367.33,6758.72,7078.5,4653770000,1.1291E+11
01-Nov-17,6440.97,6767.31,6377.88,6767.31,2870320000,1.07287E+11
31-Oct-17,6132.02,6470.43,6103.33,6468.4,2311380000,1.0213E+11
30-Oct-17,6114.85,6214.99,6040.85,6130.53,1772150000,1.01833E+11
29-Oct-17,5754.44,6255.71,5724.58,6153.85,2859040000,95819800000
28-Oct-17,5787.82,5876.72,5689.19,5753.09,1403920000,96369600000
27-Oct-17,5899.74,5988.39,5728.82,5780.9,1710130000,98225400000
26-Oct-17,5747.95,5976.8,5721.22,5904.83,1905040000,95685100000
25-Oct-17,5524.6,5754.33,5397.88,5750.8,1966990000,91954200000
24-Oct-17,5935.52,5935.52,5504.18,5526.64,2735700000,98781600000
23-Oct-17,6006,6075.59,5732.47,5930.32,2401840000,99941600000
22-Oct-17,6036.66,6076.26,5792.34,6008.42,2034630000,1.00438E+11
21-Oct-17,5996.79,6194.88,5965.07,6031.6,2207100000,99763200000
20-Oct-17,5708.11,6060.11,5627.23,6011.45,2354430000,94947900000
19-Oct-17,5583.74,5744.35,5531.06,5708.52,1780540000,92867000000
18-Oct-17,5603.82,5603.82,5151.44,5590.69,2399270000,93190200000
17-Oct-17,5741.58,5800.35,5472.72,5605.51,1821570000,95469300000
16-Oct-17,5687.57,5776.23,5544.21,5725.59,2008070000,94559000000
15-Oct-17,5835.96,5852.48,5478.61,5678.19,1976040000,97011900000
14-Oct-17,5643.53,5837.7,5591.64,5831.79,1669030000,93803000000
13-Oct-17,5464.16,5840.3,5436.85,5647.21,3615480000,90812400000
12-Oct-17,4829.58,5446.91,4822,5446.91,2791610000,80256700000
11-Oct-17,4789.25,4873.73,4751.63,4826.48,1222280000,79578200000
10-Oct-17,4776.21,4922.17,4765.1,4781.99,1597140000,79351800000
