DATE,SP500
1503084600,2429.74
1503084660,2429.29
1503084720,2429.1299
1503084780,2429.26
1503084840,2429.5901
1503084900,2430.24
1503084960,2430.76
1503085020,2431.3799
1503085080,2431.3899
1503085140,2430.76
1503085200,2430.8301
1503085260,2430.6499
1503085320,2430.6899
1503085380,2430.48
1503085440,2430.3
1503085500,2431.3501
1503085560,2431.3501
1503085620,2430.6399
1503085680,2430.3799
1503085740,2429.6599
1503085800,2428.73
1503085860,2428
1503085920,2428.74
1503085980,2428.1201
1503086040,2428.1399
1503086100,2426.3701
1503086160,2426.49
1503086220,2426.03
1503086280,2425.4299
1503086340,2425.5801
1503086400,2425.5801
1503322200,2424.6001
1503322260,2425.1799
1503322320,2423.77
1503322380,2423.8101
1503322440,2424.2
1503322500,2424.01
1503322560,2425.9099
1503322620,2426.76
1503322680,2426.9299
1503322740,2426.01
1503322800,2427.03
1503322860,2427.1299
1503322920,2426.51
1503322980,2426.3701
1503323040,2426.3401
1503323100,2425.8401
1503323160,2424.8201
1503323220,2425.1499
1503323280,2426.04
1503323340,2426.5601
1503323400,2425.73
1503323460,2424.99
1503323520,2424.8401
1503323580,2424.1399
1503323640,2424.3899
1503323700,2423.3501
1503323760,2423.1499
1503323820,2421.6101
1503323880,2422.27
1503323940,2421.8401
1503324000,2420.98
1503324060,2421.4399
1503324120,2419.95
1503324180,2419.3401
1503324240,2420.3301
1503324300,2419.99
1503324360,2420.28
1503324420,2420.74
1503324480,2421.75
1503324540,2421.98
1503324600,2421.79
1503324660,2421.27
1503324720,2420.02
1503324780,2419.6899
1503324840,2420.28
1503324900,2420.53
1503324960,2419.72
1503325020,2419.3
1503325080,2420.9299
1503325140,2420.22
1503325200,2419.52
1503325260,2417.54
1503325320,2418.0601
1503325380,2417.98
1503325440,2417.9299
1503325500,2418.3999
1503325560,2419.8701
1503325620,2419.6201
1503325680,2419.98
1503325740,2419.71
1503325800,2419.95
1503325860,2420.7
1503325920,2420.8701
1503325980,2421.0801
1503326040,2420.6201
1503326100,2420.3999
1503326160,2420.45
1503326220,2420.03
1503326280,2420.8701
1503326340,2420.0901
1503326400,2420.8
1503326460,2422.5
1503326520,2423.0701
1503326580,2423.1899
1503326640,2422.3999
1503326700,2423.1499
1503326760,2422.8
1503326820,2422.97
1503326880,2422.95
1503326940,2422.1001
1503327000,2422.3401
1503327060,2422.98
1503327120,2424.05
1503327180,2423.8899
1503327240,2423.5
1503327300,2423.6101
1503327360,2423.74
1503327420,2423.0701
1503327480,2422.6799
1503327540,2423.8601
1503327600,2423.79
1503327660,2422.53
1503327720,2422.77
1503327780,2422.4099
1503327840,2422.4399
1503327900,2422.0901
1503327960,2422.3899
1503328020,2422.98
1503328080,2422.9099
1503328140,2422.95
1503328200,2424
1503328260,2424.54
1503328320,2425.54
1503328380,2425.6001
1503328440,2426.02
1503328500,2425.26
1503328560,2426.25
1503328620,2426.0601
1503328680,2425.8
1503328740,2425.96
1503328800,2426.04
1503328860,2426.22
1503328920,2426.77
1503328980,2426.8999
1503329040,2425.98
1503329100,2425.6699
1503329160,2425.8899
1503329220,2426.27
1503329280,2425.79
1503329340,2425.24
1503329400,2425.28
1503329460,2426.53
1503329520,2426.3999
1503329580,2426.71
1503329640,2426.3401
1503329700,2426.49
1503329760,2426.1399
1503329820,2425.95
